date,symbol,ret
2026-07-02,TTD,-0.0026
2026-07-02,JNJ,0.0357
2026-07-02,PG,0.027
2026-07-02,HD,0.0201
2026-07-06,TTD,0.011
2026-07-06,JNJ,-0.0141
2026-07-06,PG,-0.0139
2026-07-06,HD,-0.0203
2026-07-07,TTD,-0.0067
2026-07-07,JNJ,0.0305
2026-07-07,PG,0.023
2026-07-07,HD,-0.0155
2026-07-08,TTD,-0.0057
2026-07-08,JNJ,-0.0144
2026-07-08,PG,-0.0285
2026-07-08,HD,-0.0261
2026-07-09,TTD,0.0357
2026-07-09,JNJ,-0.0163
2026-07-09,PG,-0.0104
2026-07-09,HD,0.0075
2026-07-10,TTD,-0.0111
2026-07-10,JNJ,-0.0082
2026-07-10,PG,0.0013
2026-07-10,HD,0.0135
2026-07-13,TTD,0.0133
2026-07-13,JNJ,0.0031
2026-07-13,PG,0.009
2026-07-13,HD,-0.018
2026-07-14,TTD,-0.043
2026-07-14,JNJ,-0.0152
2026-07-14,PG,-0.0154
2026-07-14,HD,0.0019
2026-07-15,TTD,0.0227
2026-07-15,JNJ,-0.0269
2026-07-15,PG,0.0135
2026-07-15,HD,0.011
2026-07-16,TTD,-0.0129
2026-07-16,JNJ,0.0119
2026-07-16,PG,0.0233
2026-07-16,HD,0.0193
2026-07-17,TTD,-0.0277
2026-07-17,JNJ,0.0123
2026-07-17,PG,-0.01
2026-07-17,HD,-0.0263
2026-07-20,TTD,0.0027
2026-07-20,JNJ,-0.0167
2026-07-20,PG,-0.0057
2026-07-20,HD,-0.0172
2026-07-21,TTD,-0.0209
2026-07-21,JNJ,0.0072
2026-07-21,PG,-0.0069
2026-07-21,HD,-0.0043
2026-07-22,TTD,-0.0367
2026-07-22,JNJ,0.02
2026-07-22,PG,0.007
2026-07-22,HD,-0.0005
2026-07-23,TTD,-0.0449
2026-07-23,JNJ,0.0142
2026-07-23,PG,-0.0145
2026-07-23,HD,-0.0203
2026-07-24,TTD,0.0298
2026-07-24,JNJ,0.0159
2026-07-24,PG,0.003
2026-07-24,HD,0.0255
2026-07-27,TTD,0.0341
2026-07-27,JNJ,0.0097
2026-07-27,PG,0.0083
2026-07-27,HD,0.0093
2026-07-28,TTD,0.0576
2026-07-28,JNJ,0.0029
2026-07-28,PG,0.0017
2026-07-28,HD,0.0249
2026-07-29,TTD,0.0095
2026-07-29,JNJ,-0.0045
2026-07-29,PG,-0.0187
2026-07-29,HD,-0.018
2026-07-30,TTD,-0.0424
2026-07-30,JNJ,-0.0366
2026-07-30,PG,-0.0146
2026-07-30,HD,-0.0145
2026-07-31,TTD,-0.0131
2026-07-31,JNJ,0.0021
2026-07-31,PG,0.0037
2026-07-31,HD,-0.0042
2026-08-03,TTD,0.0144
2026-08-03,JNJ,-0.0076
2026-08-03,PG,0.0033
2026-08-03,HD,0.0243
2026-08-04,TTD,0.0568
2026-08-04,JNJ,0.002
2026-08-04,PG,0.021
2026-08-04,HD,0.0242
2026-08-05,TTD,-0.0196
2026-08-05,JNJ,0.0104
2026-08-05,PG,-0.0082
2026-08-05,HD,0.0141
2026-08-06,TTD,-0.068
2026-08-06,JNJ,-0.0024
2026-08-06,PG,0.0012
2026-08-06,HD,-0.0103
2026-08-07,JNJ,0.0088
2026-08-07,PG,-0.008
2026-08-07,HD,0.0175
2026-08-07,TTD,-0.219
