application_id,income,debt_ratio,credit_score,loan_amount,days_past_due,defaulted
a1,131330.62,0.455,655,9249.67,0,0
a2,78592.10,0.470,626,15344.71,85,1
a3,90562.42,0.169,739,19314.33,0,0
a4,139169.55,0.590,753,27260.65,48,1
a5,137860.59,0.410,668,4819.63,0,0
a6,103306.44,0.548,792,15356.27,0,0
a7,61259.08,0.483,687,2393.17,0,0
a8,77858.83,0.495,717,2032.00,0,0
a9,134112.33,0.146,631,26373.19,0,0
a10,98101.29,0.143,792,24489.03,0,0
a11,39653.50,0.192,677,28119.35,171,1
a12,64930.88,0.075,633,27822.99,170,1
a13,100514.05,0.267,699,12777.23,0,0
a14,64839.54,0.114,597,19157.65,0,0
a15,87183.72,0.054,739,26549.57,0,0
a16,131095.23,0.539,781,17136.80,0,0
a17,114634.01,0.165,753,25785.61,0,0
a18,100776.14,0.570,695,14615.77,0,0
a19,149550.94,0.550,748,4306.44,0,0
a20,88373.30,0.378,761,8805.00,0,0
a21,44056.12,0.132,749,11311.01,0,0
a22,42072.90,0.088,724,3266.55,0,0
a23,139201.92,0.321,720,2747.51,0,0
a24,102760.61,0.346,648,12363.92,0,0
a25,34367.04,0.013,790,7179.21,0,0
a26,55269.18,0.480,784,2637.91,0,0
a27,42180.03,0.156,605,20113.92,76,1
a28,37325.09,0.280,699,21581.05,96,1
a29,73026.64,0.439,760,27717.50,82,1
a30,145985.87,0.035,719,25671.89,0,0
a31,60082.48,0.358,661,6894.95,0,0
a32,79188.65,0.341,677,10720.49,0,0
a33,130519.34,0.151,690,2348.22,0,0
a34,70309.99,0.027,620,8723.65,0,0
a35,72267.07,0.173,640,28513.36,0,0
a36,104529.22,0.429,647,13603.70,0,0
a37,30182.91,0.115,634,8703.65,0,0
a38,75437.77,0.525,692,13603.38,175,1
a39,80187.19,0.397,562,14469.86,70,1
a40,83563.77,0.531,777,18911.37,39,1
a41,89349.92,0.187,667,24653.28,0,0
a42,127489.79,0.113,800,19726.49,0,0
a43,117066.52,0.592,650,20998.42,84,1
a44,31714.96,0.453,795,20921.33,78,1
a45,44268.47,0.390,768,9839.52,0,0
a46,42021.68,0.512,649,4277.67,145,1
a47,125978.95,0.069,614,20299.88,0,0
a48,107392.88,0.069,589,25834.71,82,1
a49,111719.61,0.335,787,28276.29,0,0
a50,35040.54,0.449,725,20350.13,147,1
a51,106816.94,0.223,684,7819.63,0,0
a52,31067.65,0.091,633,24109.45,116,1
a53,123530.03,0.021,617,6183.65,0,0
a54,73308.79,0.594,582,5217.10,42,1
a55,66945.57,0.514,732,10474.78,0,0
a56,65907.06,0.065,690,15472.82,0,0
a57,125744.92,0.487,581,5248.23,39,1
a58,66228.37,0.441,774,27751.29,0,0
a59,75068.56,0.585,710,3843.37,86,1
a60,37338.74,0.005,648,16532.10,0,0
a61,88634.26,0.351,720,13845.07,0,0
a62,148615.09,0.157,744,14074.19,0,0
a63,37662.95,0.518,726,27284.30,81,1
a64,44269.23,0.239,602,3178.84,0,0
a65,55907.32,0.088,599,12584.90,0,0
a66,48160.12,0.593,796,6155.26,0,0
a67,111591.54,0.527,674,27677.31,157,1
a68,149781.97,0.381,769,17198.65,0,0
a69,31164.56,0.423,737,10911.26,164,1
a70,47804.03,0.154,746,25585.33,0,0
a71,116175.80,0.484,567,4370.01,0,0
a72,34729.90,0.135,560,2427.98,0,0
a73,69671.32,0.096,587,20370.34,0,0
a74,90599.96,0.541,676,18068.43,162,1
a75,120941.57,0.594,737,27361.86,167,1
a76,138136.65,0.251,793,25673.78,0,0
a77,102891.59,0.140,766,2573.49,0,0
a78,118889.45,0.181,693,11315.20,0,0
a79,61440.90,0.495,743,12756.47,0,0
a80,49655.45,0.561,610,22424.62,39,1
a81,87759.65,0.085,772,18855.07,0,0
a82,113843.57,0.486,638,2985.03,0,0
a83,85065.88,0.061,745,2566.39,0,0
a84,45924.23,0.194,725,20171.78,0,0
a85,124010.04,0.466,578,3684.50,0,0
a86,103719.70,0.560,713,29145.59,105,1
a87,124627.98,0.076,778,24381.55,0,0
a88,134704.17,0.409,753,16532.20,0,0
a89,52695.30,0.469,661,23185.25,49,1
a90,144779.70,0.541,560,9150.82,163,1
a91,109981.34,0.343,604,4617.33,0,0
a92,136652.65,0.468,725,13763.11,0,0
a93,43613.39,0.256,692,27840.66,0,0
a94,79876.94,0.060,743,22559.82,0,0
a95,83606.23,0.412,558,27739.91,0,0
a96,116705.13,0.047,568,12059.09,119,1
a97,51348.92,0.498,608,12242.47,66,1
a98,54957.36,0.123,718,28271.34,31,1
a99,65191.55,0.414,783,8520.17,0,0
a100,84485.77,0.286,727,9230.13,83,1
a101,73468.78,0.284,623,28239.55,0,0
a102,106309.88,0.110,798,4872.25,0,0
a103,48768.37,0.539,786,24522.93,92,1
a104,58398.86,0.110,643,20569.47,0,0
a105,102144.99,0.236,726,5696.57,0,0
a106,80009.92,0.556,698,10344.79,93,1
a107,83377.34,0.222,787,3620.00,0,0
a108,80067.06,0.437,630,7711.73,150,1
a109,40926.78,0.111,577,5140.44,0,0
a110,48465.46,0.422,782,7190.66,0,0
a111,50968.46,0.576,635,16653.76,52,1
a112,87994.56,0.122,550,21571.77,0,0
a113,30933.20,0.179,742,19609.77,0,0
a114,48746.53,0.424,668,20989.00,89,1
a115,95248.90,0.243,708,2605.34,0,0
a116,110218.64,0.000,650,26935.73,0,0
a117,83350.15,0.448,638,26396.34,80,1
a118,101449.19,0.021,748,10556.91,0,0
a119,93622.25,0.149,780,6579.53,0,0
a120,64763.03,0.312,693,19559.91,0,0
a121,79296.54,0.381,651,23799.41,0,0
a122,65070.50,0.223,707,6397.96,0,0
a123,75771.33,0.355,585,20711.23,151,1
a124,119081.46,0.131,672,16043.88,0,0
a125,145010.71,0.266,586,15874.65,0,0
a126,55885.67,0.213,648,29800.74,0,0
a127,147468.79,0.412,570,28580.66,0,0
a128,77413.85,0.217,579,2104.73,0,0
a129,106844.79,0.176,775,5939.03,0,0
a130,52944.52,0.260,729,12755.64,0,0
a131,107760.59,0.412,587,28130.50,110,1
a132,45506.76,0.546,661,24101.46,155,1
a133,76744.37,0.132,599,28320.97,0,0
a134,35975.19,0.233,609,4370.40,44,1
a135,119179.54,0.406,608,10330.76,161,1
a136,120179.05,0.463,771,13520.11,162,1
a137,109875.56,0.389,687,22563.67,0,0
a138,84552.28,0.153,669,11441.44,0,0
a139,36306.40,0.210,622,2199.64,139,1
a140,111660.48,0.582,649,27798.97,116,1
a141,102998.26,0.364,571,10932.84,113,1
a142,60659.98,0.313,598,4243.25,0,0
a143,71489.67,0.502,613,22412.73,162,1
a144,133199.33,0.153,636,21949.45,171,1
a145,38680.53,0.277,731,3329.12,0,0
a146,147467.20,0.276,580,4281.36,69,1
a147,79681.54,0.552,660,4160.01,130,1
a148,34722.20,0.108,673,5586.39,0,0
a149,142135.31,0.192,659,17597.51,0,0
a150,94929.08,0.121,624,14369.94,0,0
a151,94339.80,0.157,608,5324.45,0,0
a152,41868.09,0.440,612,9967.60,31,1
a153,119030.59,0.309,765,5410.23,0,0
a154,44189.32,0.442,640,20896.70,102,1
a155,56586.96,0.499,610,16508.29,89,1
a156,74783.63,0.288,696,5844.06,159,1
a157,69346.16,0.351,556,5635.04,75,1
a158,91256.94,0.046,741,23880.43,0,0
a159,98339.76,0.417,603,22511.70,0,0
a160,121195.98,0.212,698,19611.70,0,0
a161,42961.67,0.500,682,12041.20,33,1
a162,145035.62,0.333,591,26614.20,0,0
a163,118484.58,0.328,726,4205.63,0,0
a164,78222.51,0.115,629,10168.39,0,0
a165,55039.61,0.189,737,8989.05,0,0
a166,110211.92,0.396,606,11636.81,34,1
a167,72762.95,0.324,733,6234.05,45,1
a168,32947.76,0.027,606,20308.55,45,1
a169,71391.42,0.398,584,27815.54,66,1
a170,72964.22,0.106,632,29630.28,0,0
