customer_id,tenure_months,contract_type,discount,monthly_charges,churn
c1,49,one_year,0.147,45.89,false
c2,51,two_year,0.290,116.78,false
c3,27,month_to_month,0.099,95.58,false
c4,32,two_year,0.186,90.52,false
c5,18,month_to_month,0.255,109.88,false
c6,60,month_to_month,0.124,51.62,false
c7,26,two_year,0.167,106.53,false
c8,70,two_year,0.033,104.01,false
c9,0,one_year,0.290,53.31,false
c10,8,month_to_month,0.199,43.86,false
c11,69,month_to_month,0.028,52.01,false
c12,62,month_to_month,0.193,90.66,false
c13,69,month_to_month,0.280,74.72,true
c14,11,month_to_month,0.135,77.57,false
c15,24,two_year,0.012,118.13,false
c16,8,month_to_month,0.265,107.68,false
c17,10,two_year,0.323,74.06,false
c18,67,month_to_month,0.284,104.95,false
c19,53,month_to_month,0.158,86.02,false
c20,45,month_to_month,0.214,68.64,false
c21,24,month_to_month,0.256,31.71,true
c22,21,month_to_month,0.286,30.06,true
c23,28,month_to_month,0.201,111.00,false
c24,9,month_to_month,0.222,80.63,false
c25,50,month_to_month,0.292,31.60,false
c26,24,two_year,0.065,32.39,false
c27,7,two_year,0.008,62.56,false
c28,33,month_to_month,0.025,50.11,false
c29,7,month_to_month,0.014,30.09,false
c30,25,month_to_month,0.317,67.02,false
c31,72,month_to_month,0.235,116.65,true
c32,20,two_year,0.120,45.07,false
c33,56,one_year,0.005,88.13,false
c34,65,two_year,0.227,58.86,false
c35,19,month_to_month,0.004,94.16,false
c36,5,month_to_month,0.047,96.22,false
c37,36,one_year,0.207,109.19,false
c38,16,one_year,0.136,61.44,false
c39,0,month_to_month,0.245,36.01,true
c40,57,month_to_month,0.306,76.82,false
c41,51,two_year,0.199,97.22,false
c42,21,month_to_month,0.091,35.77,false
c43,62,two_year,0.211,20.01,true
c44,41,month_to_month,0.163,100.90,false
c45,53,month_to_month,0.350,83.31,true
c46,16,two_year,0.141,87.85,false
c47,27,month_to_month,0.264,118.02,false
c48,12,month_to_month,0.213,39.85,true
c49,23,month_to_month,0.299,59.67,true
c50,35,two_year,0.280,31.58,false
c51,66,two_year,0.226,31.51,false
c52,2,month_to_month,0.072,45.97,false
c53,46,two_year,0.318,24.20,false
c54,63,one_year,0.316,84.01,false
c55,68,month_to_month,0.131,49.10,false
c56,34,month_to_month,0.276,91.85,true
c57,4,month_to_month,0.057,118.19,false
c58,50,two_year,0.045,31.49,false
c59,6,month_to_month,0.300,92.87,true
c60,42,month_to_month,0.038,76.08,false
c61,43,two_year,0.342,54.37,false
c62,63,month_to_month,0.106,93.48,false
c63,21,one_year,0.131,117.46,false
c64,8,two_year,0.069,42.11,false
c65,12,month_to_month,0.182,64.85,false
c66,27,month_to_month,0.129,118.85,false
c67,21,month_to_month,0.125,26.39,false
c68,3,two_year,0.158,87.69,false
c69,50,month_to_month,0.224,119.70,false
c70,18,month_to_month,0.160,56.16,false
c71,13,two_year,0.344,34.84,false
c72,54,two_year,0.173,111.70,false
c73,63,two_year,0.222,107.47,false
c74,28,month_to_month,0.247,94.70,true
c75,41,month_to_month,0.052,45.69,false
c76,48,month_to_month,0.251,100.71,true
c77,10,month_to_month,0.320,26.64,true
c78,38,month_to_month,0.295,53.06,true
c79,19,two_year,0.161,57.13,false
c80,67,month_to_month,0.201,87.86,false
c81,9,one_year,0.317,40.61,false
c82,53,two_year,0.169,99.10,false
c83,29,two_year,0.279,85.70,true
c84,23,month_to_month,0.200,53.27,false
c85,33,two_year,0.106,60.81,false
c86,7,month_to_month,0.327,43.90,false
c87,42,month_to_month,0.013,61.79,false
c88,10,one_year,0.053,118.67,false
c89,59,month_to_month,0.016,67.09,false
c90,4,month_to_month,0.046,52.39,false
c91,44,month_to_month,0.274,97.75,true
c92,7,one_year,0.164,83.23,false
c93,15,two_year,0.250,49.64,false
c94,49,one_year,0.321,107.25,false
c95,15,month_to_month,0.275,38.91,false
c96,56,month_to_month,0.067,55.66,false
c97,5,two_year,0.014,45.54,true
c98,66,one_year,0.200,41.60,false
c99,64,one_year,0.147,50.53,false
c100,54,two_year,0.148,28.40,false
c101,8,month_to_month,0.271,93.43,true
c102,57,month_to_month,0.146,69.66,false
c103,41,one_year,0.027,27.03,false
c104,3,month_to_month,0.062,103.03,false
c105,46,month_to_month,0.313,40.80,true
c106,15,one_year,0.103,88.95,false
c107,29,two_year,0.065,31.24,false
c108,33,month_to_month,0.338,56.22,false
c109,37,month_to_month,0.307,75.32,true
c110,10,month_to_month,0.203,35.64,false
c111,16,two_year,0.111,44.28,false
c112,37,month_to_month,0.232,106.10,false
c113,50,month_to_month,0.026,62.02,false
c114,18,month_to_month,0.104,55.46,false
c115,47,one_year,0.185,57.64,true
c116,41,month_to_month,0.130,115.23,false
c117,23,one_year,0.097,75.82,false
c118,57,two_year,0.065,62.17,false
c119,58,month_to_month,0.183,55.54,false
c120,11,month_to_month,0.071,20.18,false
c121,59,month_to_month,0.104,96.86,false
c122,69,one_year,0.148,95.14,false
c123,63,one_year,0.081,96.20,false
c124,2,month_to_month,0.309,24.05,true
c125,67,two_year,0.248,64.46,false
c126,45,month_to_month,0.264,110.88,false
c127,4,month_to_month,0.092,73.36,true
c128,31,two_year,0.267,26.81,false
c129,36,month_to_month,0.201,82.71,false
c130,52,two_year,0.190,94.14,false
c131,35,month_to_month,0.130,82.88,false
c132,15,month_to_month,0.207,33.95,false
c133,45,one_year,0.260,41.80,false
c134,64,month_to_month,0.228,26.02,false
c135,63,month_to_month,0.217,22.55,false
c136,1,two_year,0.343,88.69,true
c137,50,month_to_month,0.014,82.09,false
c138,37,one_year,0.079,95.16,false
c139,13,month_to_month,0.251,58.41,true
c140,55,month_to_month,0.327,34.75,false
c141,26,two_year,0.155,98.93,false
c142,62,month_to_month,0.077,39.62,false
c143,6,two_year,0.012,83.32,false
c144,46,month_to_month,0.223,37.34,false
c145,11,one_year,0.179,48.44,false
c146,45,month_to_month,0.019,89.68,false
c147,70,two_year,0.327,78.10,false
c148,60,month_to_month,0.093,24.38,false
c149,0,month_to_month,0.002,26.37,false
c150,28,two_year,0.139,112.14,false
c151,43,one_year,0.212,28.56,false
c152,68,month_to_month,0.114,22.88,true
c153,47,month_to_month,0.304,54.57,false
c154,32,one_year,0.257,51.22,false
c155,32,month_to_month,0.305,44.00,true
c156,70,month_to_month,0.161,92.46,true
c157,52,two_year,0.161,31.81,false
c158,12,two_year,0.054,108.43,false
c159,9,two_year,0.196,108.66,false
c160,23,month_to_month,0.077,104.05,false
c161,45,month_to_month,0.152,75.71,false
c162,69,one_year,0.249,97.75,false
c163,59,month_to_month,0.091,43.18,false
c164,12,month_to_month,0.145,41.81,false
c165,0,one_year,0.180,105.91,false
c166,34,month_to_month,0.258,55.89,false
c167,69,one_year,0.078,103.18,false
c168,66,month_to_month,0.115,57.32,false
c169,21,month_to_month,0.005,70.48,false
c170,3,two_year,0.307,35.52,true
c171,9,month_to_month,0.072,111.51,false
c172,27,month_to_month,0.046,43.37,false
c173,16,one_year,0.315,30.80,false
c174,67,month_to_month,0.171,50.87,false
c175,71,one_year,0.231,69.47,false
c176,61,month_to_month,0.246,27.88,true
c177,51,one_year,0.288,98.54,false
c178,7,month_to_month,0.110,94.71,false
c179,56,one_year,0.231,42.59,false
c180,20,month_to_month,0.125,73.95,false
c181,19,month_to_month,0.172,26.13,false
c182,1,month_to_month,0.229,26.65,true
c183,54,month_to_month,0.323,64.90,true
c184,39,month_to_month,0.115,118.68,false
c185,48,month_to_month,0.312,73.37,false
c186,59,one_year,0.198,32.26,false
c187,21,month_to_month,0.048,106.89,false
c188,18,month_to_month,0.083,102.83,false
c189,2,two_year,0.314,94.28,false
c190,71,month_to_month,0.027,112.76,false
c191,58,one_year,0.215,24.00,false
c192,48,month_to_month,0.326,23.63,true
c193,37,one_year,0.160,70.74,false
c194,51,month_to_month,0.281,114.44,true
c195,67,two_year,0.193,117.73,false
c196,70,month_to_month,0.240,65.59,false
c197,51,month_to_month,0.018,47.30,false
c198,32,one_year,0.204,97.59,false
c199,26,one_year,0.181,58.61,false
c200,32,month_to_month,0.198,52.94,false
c201,31,month_to_month,0.252,88.13,false
c202,19,month_to_month,0.262,20.91,false
c203,72,month_to_month,0.121,49.12,false
c204,63,one_year,0.210,118.75,true
c205,18,month_to_month,0.155,54.13,true
c206,61,two_year,0.232,86.28,false
c207,24,month_to_month,0.328,47.87,false
c208,67,month_to_month,0.231,35.74,true
c209,64,one_year,0.190,58.47,false
c210,39,month_to_month,0.150,119.08,false
c211,33,month_to_month,0.194,119.01,false
c212,55,one_year,0.296,95.01,true
c213,72,month_to_month,0.162,23.64,false
c214,29,two_year,0.127,118.16,false
c215,24,one_year,0.220,69.70,false
c216,31,month_to_month,0.085,38.51,false
c217,53,month_to_month,0.157,94.40,false
c218,65,two_year,0.284,30.04,false
c219,56,two_year,0.325,83.47,false
c220,32,month_to_month,0.265,55.62,true
c221,39,month_to_month,0.004,45.06,false
c222,49,month_to_month,0.222,87.31,false
c223,4,month_to_month,0.124,76.88,false
c224,35,month_to_month,0.009,67.37,false
c225,5,month_to_month,0.303,56.10,true
c226,14,one_year,0.165,51.45,false
c227,3,month_to_month,0.317,118.43,false
c228,35,month_to_month,0.050,34.75,false
c229,65,month_to_month,0.044,33.40,false
c230,5,one_year,0.182,102.35,false
c231,49,two_year,0.121,78.59,false
c232,71,month_to_month,0.093,100.02,false
c233,32,one_year,0.181,65.65,false
c234,57,month_to_month,0.014,78.55,false
c235,4,two_year,0.111,114.67,false
c236,58,one_year,0.284,72.23,false
c237,17,month_to_month,0.195,74.34,false
c238,43,month_to_month,0.271,30.40,false
c239,72,month_to_month,0.292,71.24,false
c240,15,month_to_month,0.324,38.26,true
c241,43,two_year,0.068,61.38,false
c242,39,one_year,0.319,80.04,false
c243,21,month_to_month,0.292,27.74,true
c244,45,one_year,0.217,45.58,false
c245,58,month_to_month,0.011,100.24,false
c246,49,month_to_month,0.034,22.62,true
c247,51,one_year,0.229,21.36,false
c248,70,one_year,0.243,67.65,false
c249,68,two_year,0.277,105.84,false
c250,66,month_to_month,0.289,53.36,false
c251,60,two_year,0.054,71.66,false
c252,4,month_to_month,0.118,114.44,false
c253,20,month_to_month,0.322,84.01,true
c254,42,two_year,0.169,108.79,false
c255,5,month_to_month,0.222,52.86,false
c256,45,month_to_month,0.307,66.29,false
c257,17,month_to_month,0.270,36.21,false
c258,49,one_year,0.060,34.89,false
c259,41,month_to_month,0.013,97.71,false
c260,18,one_year,0.236,57.99,true
c261,55,month_to_month,0.240,91.12,false
c262,46,month_to_month,0.187,27.30,false
c263,44,two_year,0.151,63.60,false
c264,28,two_year,0.084,68.12,false
c265,8,two_year,0.349,108.50,false
c266,2,one_year,0.273,107.68,true
c267,41,two_year,0.137,82.61,false
c268,6,month_to_month,0.137,96.77,false
c269,50,month_to_month,0.037,66.07,false
c270,21,month_to_month,0.144,79.02,false
c271,36,one_year,0.039,56.83,false
c272,45,one_year,0.221,95.34,true
c273,32,month_to_month,0.204,49.60,false
c274,37,month_to_month,0.012,61.05,false
c275,26,month_to_month,0.046,81.31,false
c276,55,month_to_month,0.162,84.19,false
c277,9,one_year,0.191,75.39,false
c278,26,month_to_month,0.010,33.56,false
c279,36,one_year,0.117,31.85,false
c280,52,one_year,0.092,35.83,false
c281,42,month_to_month,0.051,57.61,false
c282,71,month_to_month,0.308,119.26,false
c283,60,month_to_month,0.338,119.59,false
c284,19,month_to_month,0.204,83.41,false
c285,66,month_to_month,0.273,89.81,false
c286,65,month_to_month,0.241,81.43,false
c287,4,month_to_month,0.312,101.74,false
c288,13,one_year,0.129,89.67,false
c289,29,two_year,0.197,102.72,false
c290,65,two_year,0.059,102.75,false
